指数代码,成分股票代码,交易日期,权重
399974.SZ,601899.SH,20250829,3.489
399974.SZ,600030.SH,20250829,3.185
399974.SZ,601211.SH,20250829,3.023
399974.SZ,000858.SZ,20250829,2.772
399974.SZ,002371.SZ,20250829,2.607
399974.SZ,600036.SH,20250829,2.572
399974.SZ,601166.SH,20250829,2.518
399974.SZ,000725.SZ,20250829,2.512
399974.SZ,600900.SH,20250829,2.506
399974.SZ,600111.SH,20250829,2.325
399974.SZ,603019.SH,20250829,2.094
399974.SZ,600309.SH,20250829,2.09
399974.SZ,601088.SH,20250829,1.999
399974.SZ,002230.SZ,20250829,1.995
399974.SZ,601668.SH,20250829,1.868
399974.SZ,002415.SZ,20250829,1.862
399974.SZ,601688.SH,20250829,1.794
399974.SZ,601857.SH,20250829,1.599
399974.SZ,688012.SH,20250829,1.516
399974.SZ,002142.SZ,20250829,1.507
399974.SZ,600050.SH,20250829,1.441
399974.SZ,600406.SH,20250829,1.413
399974.SZ,600104.SH,20250829,1.407
399974.SZ,600150.SH,20250829,1.352
399974.SZ,000338.SZ,20250829,1.327
399974.SZ,601225.SH,20250829,1.278
399974.SZ,000425.SZ,20250829,1.272
399974.SZ,601985.SH,20250829,1.186
399974.SZ,600760.SH,20250829,1.132
399974.SZ,000977.SZ,20250829,1.119
399974.SZ,000988.SZ,20250829,1.113
399974.SZ,601888.SH,20250829,1.094
399974.SZ,601658.SH,20250829,1.077
399974.SZ,600183.SH,20250829,1.046
399974.SZ,000776.SZ,20250829,1.045
399974.SZ,600436.SH,20250829,1.021
399974.SZ,000625.SZ,20250829,1.009
399974.SZ,601600.SH,20250829,1.004
399974.SZ,600905.SH,20250829,0.984
399974.SZ,600547.SH,20250829,0.975
399974.SZ,600585.SH,20250829,0.945
399974.SZ,600048.SH,20250829,0.925
399974.SZ,600584.SH,20250829,0.924
399974.SZ,000938.SZ,20250829,0.903
399974.SZ,002049.SZ,20250829,0.897
399974.SZ,600893.SH,20250829,0.87
399974.SZ,002179.SZ,20250829,0.86
399974.SZ,002916.SZ,20250829,0.854
399974.SZ,000538.SZ,20250829,0.831
399974.SZ,601669.SH,20250829,0.825
399974.SZ,000002.SZ,20250829,0.748
399974.SZ,000831.SZ,20250829,0.701
399974.SZ,600795.SH,20250829,0.691
399974.SZ,600426.SH,20250829,0.659
399974.SZ,601881.SH,20250829,0.651
399974.SZ,000768.SZ,20250829,0.65
399974.SZ,600009.SH,20250829,0.65
399974.SZ,600176.SH,20250829,0.606
399974.SZ,601186.SH,20250829,0.605
399974.SZ,601066.SH,20250829,0.596
399974.SZ,002920.SZ,20250829,0.571
399974.SZ,000066.SZ,20250829,0.56
399974.SZ,600886.SH,20250829,0.557
399974.SZ,688126.SH,20250829,0.553
399974.SZ,000661.SZ,20250829,0.544
399974.SZ,001979.SZ,20250829,0.536
399974.SZ,601800.SH,20250829,0.527
399974.SZ,600011.SH,20250829,0.525
399974.SZ,603369.SH,20250829,0.524
399974.SZ,600372.SH,20250829,0.503
399974.SZ,600741.SH,20250829,0.488
399974.SZ,600674.SH,20250829,0.47
399974.SZ,601117.SH,20250829,0.466
399974.SZ,688122.SH,20250829,0.459
399974.SZ,688396.SH,20250829,0.45
399974.SZ,002129.SZ,20250829,0.438
399974.SZ,000786.SZ,20250829,0.438
399974.SZ,600482.SH,20250829,0.435
399974.SZ,600600.SH,20250829,0.399
399974.SZ,600085.SH,20250829,0.396
399974.SZ,600875.SH,20250829,0.39
399974.SZ,600161.SH,20250829,0.385
399974.SZ,002202.SZ,20250829,0.383
399974.SZ,600118.SH,20250829,0.379
399974.SZ,600188.SH,20250829,0.375
399974.SZ,600845.SH,20250829,0.354
399974.SZ,600862.SH,20250829,0.345
399974.SZ,300413.SZ,20250829,0.316
399974.SZ,601059.SH,20250829,0.309
399974.SZ,002152.SZ,20250829,0.288
399974.SZ,000528.SZ,20250829,0.286
399974.SZ,000400.SZ,20250829,0.269
399974.SZ,000738.SZ,20250829,0.269
399974.SZ,600038.SH,20250829,0.268
399974.SZ,600025.SH,20250829,0.266
399974.SZ,600642.SH,20250829,0.256
399974.SZ,000708.SZ,20250829,0.213
399974.SZ,601808.SH,20250829,0.134
399974.SZ,600420.SH,20250829,0.122
399974.SZ,600081.SH,20250829,0.037
